lemma,upos,Artist_name,Song,Song_ID,Lyrics_url,Views
Snijegović,PROPN,Prljavo Kazalište,Nakon,Xp4QBL1e_1_69,"https://tekstovi.net/2,206,53639.html",2753
Kabul,PROPN,Prljavo Kazalište,Neka te ništa ne brine,Xp4QBL1e_1_74,https://lyricstranslate.com/en/neka-te-ni%C5%A1ta-ne-brine-dont-let-it-worry-you.html,17639
dubrava,PROPN,Prljavo Kazalište,Nemoj mislit da se izvlačim,Xp4QBL1e_1_77,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/nemoj-mislit-da-se-izvlacim.html,21553
Vinko,PROPN,Prljavo Kazalište,Nemoj mislit da se izvlačim,Xp4QBL1e_1_77,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/nemoj-mislit-da-se-izvlacim.html,21553
Pintarić,PROPN,Prljavo Kazalište,Nemoj mislit da se izvlačim,Xp4QBL1e_1_77,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/nemoj-mislit-da-se-izvlacim.html,21553
dubrava,PROPN,Prljavo Kazalište,Nove cipele,Xp4QBL1e_1_82,https://lyricstranslate.com/en/nove-cipele-new-shoes.html,14254
Valentinovo,PROPN,Prljavo Kazalište,Ona nema vremena,Xp4QBL1e_1_84,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/ona-nema-vremena.html,25316
Marina,PROPN,Prljavo Kazalište,Ona nema vremena,Xp4QBL1e_1_84,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/ona-nema-vremena.html,25316
Petar,PROPN,Prljavo Kazalište,"Oprostio mi Bog,mogla bi i ti",Xp4QBL1e_1_85,https://lyricstranslate.com/en/oprostio-mi-bogmogla-bi-i-ti-god-forgave-me-so-you-could-too.html,88097
Krist,PROPN,Prljavo Kazalište,"Oprostio mi Bog,mogla bi i ti",Xp4QBL1e_1_85,https://lyricstranslate.com/en/oprostio-mi-bogmogla-bi-i-ti-god-forgave-me-so-you-could-too.html,88097
Juda,PROPN,Prljavo Kazalište,"Oprostio mi Bog,mogla bi i ti",Xp4QBL1e_1_85,https://lyricstranslate.com/en/oprostio-mi-bogmogla-bi-i-ti-god-forgave-me-so-you-could-too.html,88097
Bog,PROPN,Prljavo Kazalište,"Oprostio mi Bog,mogla bi i ti",Xp4QBL1e_1_85,https://lyricstranslate.com/en/oprostio-mi-bogmogla-bi-i-ti-god-forgave-me-so-you-could-too.html,88097
Staljin,PROPN,Prljavo Kazalište,Pet dana ratujem,Xp4QBL1e_1_88,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/pet-dana-ratujem.html,20732
