Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Vocals [Duet]_discogs,Lyrics By_discogs,Album_year_discogs,Featuring_discogs,Written-By_discogs,Music By_discogs,Vocals_discogs,Written By_discogs,Lyrics By [Co-written]_discogs,Arranged By_discogs,Album_year_title_discogs,All_albums_discogs
Goran Karan,Goran Karan,Na Kraj Svijeta,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ti Ne Znaš Kako Je,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ne Daj Mi Da Odem,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ne Dam Te Nikom,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Poljubi Me,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Severina - Hitovi,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Pogled Ispod Obrva,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Virujen U Te,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ko Je Kriv,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Rođena Da Budem Prva,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Rastajem Se Od Života,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Mala Je Dala,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ja Samo Pjevam,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Krivi Spoj,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
