Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By [English]_discogs,Piano [Solo]_discogs,Written-By_discogs,Lyrics By_discogs,Arranged By [Co-arranged]_discogs,Music By_discogs,Arranged By_discogs,Producer_discogs,Guitar_discogs,Programmed By_discogs,Keyboards_discogs,Film Director [Video Directed By]_discogs,Featuring_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Danijela Martinović,Danijela Martinović,Sreća,3:01,Oaza,,,,,Jadranka Krištof,,Jadranka Krištof,,,,,,,,,nan-Oaza,nan-Oaza/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Pomiri Se Sa Tim,3:31,Oaza,,,,,Ante Raguž,,Ante Raguž,,,,,,,,,nan-Oaza,nan-Oaza/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Kruh I Pašteta,4:24,Oaza,,,,,Petar Grašo,,Petar Grašo,,,,,,,,,nan-Oaza,nan-Oaza
Danijela Martinović,Danijela Martinović,Za Tebe Rođena,3:05,Oaza,,,,,Luka Juras,,Petar Grašo,Enes Tvrtković,Enes Tvrtković,,,,,,,nan-Oaza,nan-Oaza/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Najmilija,3:08,Oaza,,,,,Vjekoslava Huljić,,Kaliopi Bukle,,,,,,,,,nan-Oaza,nan-Oaza/2006.0-Zlatna Kolekcija/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Dugo Se Nisam Ljubila,3:20,Oaza,,,,,Jadranka Krištof,,Jadranka Krištof,,,,,,,,,nan-Oaza,nan-Oaza/nan-Canta Y Baila Con Danijela/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Jednom Se Živi,4:17,Oaza,,,,,Fayo,,Danijela Martinović,,,,Nikša Bratoš,Nikša Bratoš,,,,nan-Oaza,nan-Oaza/nan-Oaza/2006.0-Zlatna Kolekcija/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Zakon,3:23,Oaza,,,,,Stevo Cvikić,,Boris Novković,,,,,,,,,nan-Oaza,nan-Oaza
Danijela Martinović,Danijela Martinović,Život Stati Neće,3:53,Oaza,,,,,Vjekoslava Huljić,,Tonči Huljić,,,Dragan Brnas,,,,,,nan-Oaza,nan-Oaza/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Oaza,3:34,Oaza,,,,Enes Tvrtković,,,,,Enes Tvrtković,Enes Tvrtković,,,,,,nan-Oaza,nan-Oaza/2010.0-Najljepše Ljubavne Pjesme/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Ti Možeš Lagat' Svakome,3:10,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Muko Moja,3:21,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Danijela Martinović,Danijela Martinović,Tako Mi Fališ Ti,3:05,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Danijela Martinović,Danijela Martinović,Bonus:,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Danijela Martinović,Danijela Martinović,Ti Si Mi Sudbina,4:04,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,Silvio D'Anza,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Danijela Martinović,Danijela Martinović,Kako Bi Te Smantala,2:52,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,Delfini,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Danijela Martinović,Danijela Martinović,Zumbuli,3:20,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Danijela Martinović,Danijela Martinović,Puklo Me,3:13,Canta Y Baila Con Danijela,2006.0,,,Đorđe Novković,,,,,,,,,,,,2006.0-Canta Y Baila Con Danijela,2006.0-Canta Y Baila Con Danijela/nan-Canta Y Baila Con Danijela
Danijela Martinović,Danijela Martinović,"Brzi Mix (Rano Je Rano - Neka, Neka, Nek' Se Zna - Dođi U Mali Caffe - Ne Zovi Me U Ponoć - Vino Na Usnama)",,Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,,,,,,,,,,,,,,,,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav
